dataset;arquivo;url;sha256;tamanho_bytes;registros_campos;data_download
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_fevereiro_2024.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202402.ZIP;08b68217d9acfb923a855d1bce21bb30ac5806784f0b3bc83eb09831daf32b83;216;0;2026-07-21 18:34:25
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_março_2024.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202403.ZIP;44f71ce3d04c656ca65879bb7f23d72e0cbae9804dd89bdf7f5156fb42671023;544;0;2026-07-21 18:34:29
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_abril_2024.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202404.ZIP;dead9be504147362cdc9c561dc8fc327e9dea638c2852aafdd708e98b15d59d7;258;0;2026-07-21 18:34:35
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_maio_2024.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202405.ZIP;e9aa1af786503b48223a963f4b48e444873d31386d010a4c1120cfdf3d997339;25;0;2026-07-21 18:34:38
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_junho_2024.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202406.ZIP;9986fd9f46ac6823f40444dac636dbeeec8d37b0504d82ee387213528d95cc94;990;0;2026-07-21 18:34:42
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_julho_2024.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202407.ZIP;002438630072fd8c1ddd32f709f88cf7d6a737a7cba2a212fd1c7b86848d7887;1587;0;2026-07-21 18:34:46
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_agosto_2024.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202408.ZIP;c53240590aa8e2c48648f839a969f09e4e95f9f1271bd65f6b6c3085efdc574f;1034;0;2026-07-21 18:34:48
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_setembro_2024.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202409.ZIP;f243323f225f130b0a11b38c53e418f066ccc85368f561759414325044aeeba7;211;0;2026-07-21 18:34:49
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_outubro_2024.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202410.ZIP;90566e817b1b3194488472adfc7612b93732df0ee70b499e6dd964eafc9e475c;135;0;2026-07-21 18:34:50
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_novembro_2024.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202411.ZIP;e8d1fc2fa7408665bced95d542d5128aad621c44742d8f21e183b8a1ed6d11d4;135;0;2026-07-21 18:34:51
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_dezembro_2024.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202412.ZIP;904fff089d832926e4be465bb1980038cf8003657b517ab5174158ca9afca429;812;0;2026-07-21 18:34:52
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_janeiro_2025.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202501.ZIP;5902bd41e950d5ecb737e9edb420a1d765d3576a36edc451fd1a4acfde37dced;132;0;2026-07-21 18:34:54
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_fevereiro_2025.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202502.ZIP;32df3b0c4b423590dc627f972b00a98760aa15b90a68ee58370e7fd4c1a82718;735;0;2026-07-21 18:34:55
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_março_2025.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202503.ZIP;676230eb333c99c4d285146baecd107e53800e1e94b9a0bfc5c7ce90faa597c8;815;0;2026-07-21 18:34:56
