nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,tipo_de_rebanho_codigo,tipo_de_rebanho
6,Município,24,Cabeças,56,3301009,Campos dos Goytacazes (RJ),1987,1987,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,7866,3301009,Campos dos Goytacazes (RJ),1987,1987,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,16503,3301009,Campos dos Goytacazes (RJ),1987,1987,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1987,1987,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,1086,3301009,Campos dos Goytacazes (RJ),1987,1987,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1698,3301009,Campos dos Goytacazes (RJ),1987,1987,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,188964,3301009,Campos dos Goytacazes (RJ),1987,1987,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,42130,3301009,Campos dos Goytacazes (RJ),1987,1987,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,428,3301009,Campos dos Goytacazes (RJ),1987,1987,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,198808,3301009,Campos dos Goytacazes (RJ),1988,1988,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,54,3301009,Campos dos Goytacazes (RJ),1988,1988,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,7860,3301009,Campos dos Goytacazes (RJ),1988,1988,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,16140,3301009,Campos dos Goytacazes (RJ),1988,1988,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1988,1988,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,1120,3301009,Campos dos Goytacazes (RJ),1988,1988,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1702,3301009,Campos dos Goytacazes (RJ),1988,1988,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,200720,3301009,Campos dos Goytacazes (RJ),1988,1988,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,44200,3301009,Campos dos Goytacazes (RJ),1988,1988,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,425,3301009,Campos dos Goytacazes (RJ),1988,1988,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,199735,3301009,Campos dos Goytacazes (RJ),1989,1989,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,56,3301009,Campos dos Goytacazes (RJ),1989,1989,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,8071,3301009,Campos dos Goytacazes (RJ),1989,1989,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,17132,3301009,Campos dos Goytacazes (RJ),1989,1989,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1989,1989,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,1153,3301009,Campos dos Goytacazes (RJ),1989,1989,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1715,3301009,Campos dos Goytacazes (RJ),1989,1989,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,212134,3301009,Campos dos Goytacazes (RJ),1989,1989,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,38635,3301009,Campos dos Goytacazes (RJ),1989,1989,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,563,3301009,Campos dos Goytacazes (RJ),1989,1989,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,199862,3301009,Campos dos Goytacazes (RJ),1990,1990,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,58,3301009,Campos dos Goytacazes (RJ),1990,1990,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,8322,3301009,Campos dos Goytacazes (RJ),1990,1990,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,17270,3301009,Campos dos Goytacazes (RJ),1990,1990,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1990,1990,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,1204,3301009,Campos dos Goytacazes (RJ),1990,1990,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1710,3301009,Campos dos Goytacazes (RJ),1990,1990,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,206584,3301009,Campos dos Goytacazes (RJ),1990,1990,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,37256,3301009,Campos dos Goytacazes (RJ),1990,1990,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,580,3301009,Campos dos Goytacazes (RJ),1990,1990,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,203197,3301009,Campos dos Goytacazes (RJ),1991,1991,105,Efetivo dos rebanhos,2670,Bovino
