nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,produto_das_lavouras_permanentes_codigo,produto_das_lavouras_permanentes
6,Município,33,Quilogramas por Hectare,50000,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,40473,Caju
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2724,Caqui
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2725,Castanha de caju
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2726,Chá-da-índia (folha verde)
6,Município,33,Quilogramas por Hectare,6000,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2727,Coco-da-baía*
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2728,Dendê (cacho de coco)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2729,Erva-mate (folha verde)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2730,Figo
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2731,Goiaba
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2732,Guaraná (semente)
6,Município,33,Quilogramas por Hectare,48000,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2733,Laranja
6,Município,33,Quilogramas por Hectare,125000,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2734,Limão
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2735,Maçã
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2736,Mamão
6,Município,33,Quilogramas por Hectare,70000,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2737,Manga
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2738,Maracujá
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2739,Marmelo
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2740,Noz (fruto seco)
