nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,sexo_codigo,sexo,idade_codigo,idade,forma_de_declaracao_da_idade_codigo,forma_de_declaracao_da_idade
6,Município,45,Pessoas,2465,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6575,18 anos,6556,Idade presumida
6,Município,45,Pessoas,6595,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6576,19 anos,113635,Total
6,Município,45,Pessoas,4481,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6576,19 anos,6555,Data de nascimento
6,Município,45,Pessoas,2114,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6576,19 anos,6556,Idade presumida
6,Município,45,Pessoas,36775,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93087,20 a 24 anos,113635,Total
6,Município,45,Pessoas,25067,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93087,20 a 24 anos,6555,Data de nascimento
6,Município,45,Pessoas,11708,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93087,20 a 24 anos,6556,Idade presumida
6,Município,45,Pessoas,7117,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6577,20 anos,113635,Total
6,Município,45,Pessoas,4650,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6577,20 anos,6555,Data de nascimento
6,Município,45,Pessoas,2467,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6577,20 anos,6556,Idade presumida
6,Município,45,Pessoas,6954,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6578,21 anos,113635,Total
6,Município,45,Pessoas,4959,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6578,21 anos,6555,Data de nascimento
6,Município,45,Pessoas,1995,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6578,21 anos,6556,Idade presumida
6,Município,45,Pessoas,7838,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6579,22 anos,113635,Total
6,Município,45,Pessoas,5307,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6579,22 anos,6555,Data de nascimento
6,Município,45,Pessoas,2531,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6579,22 anos,6556,Idade presumida
6,Município,45,Pessoas,7600,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6580,23 anos,113635,Total
6,Município,45,Pessoas,5149,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6580,23 anos,6555,Data de nascimento
6,Município,45,Pessoas,2451,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6580,23 anos,6556,Idade presumida
6,Município,45,Pessoas,7266,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6581,24 anos,113635,Total
6,Município,45,Pessoas,5002,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6581,24 anos,6555,Data de nascimento
6,Município,45,Pessoas,2264,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6581,24 anos,6556,Idade presumida
6,Município,45,Pessoas,35918,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93088,25 a 29 anos,113635,Total
6,Município,45,Pessoas,24667,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93088,25 a 29 anos,6555,Data de nascimento
6,Município,45,Pessoas,11251,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93088,25 a 29 anos,6556,Idade presumida
6,Município,45,Pessoas,7520,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6582,25 anos,113635,Total
6,Município,45,Pessoas,4880,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6582,25 anos,6555,Data de nascimento
6,Município,45,Pessoas,2640,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6582,25 anos,6556,Idade presumida
6,Município,45,Pessoas,7023,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6656,26 anos,113635,Total
6,Município,45,Pessoas,4908,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6656,26 anos,6555,Data de nascimento
6,Município,45,Pessoas,2115,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6656,26 anos,6556,Idade presumida
6,Município,45,Pessoas,7241,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6657,27 anos,113635,Total
6,Município,45,Pessoas,5187,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6657,27 anos,6555,Data de nascimento
6,Município,45,Pessoas,2054,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6657,27 anos,6556,Idade presumida
6,Município,45,Pessoas,7390,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6658,28 anos,113635,Total
6,Município,45,Pessoas,4956,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6658,28 anos,6555,Data de nascimento
6,Município,45,Pessoas,2434,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6658,28 anos,6556,Idade presumida
6,Município,45,Pessoas,6744,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6659,29 anos,113635,Total
6,Município,45,Pessoas,4736,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6659,29 anos,6555,Data de nascimento
6,Município,45,Pessoas,2008,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6659,29 anos,6556,Idade presumida
6,Município,45,Pessoas,35982,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93089,30 a 34 anos,113635,Total
6,Município,45,Pessoas,24892,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93089,30 a 34 anos,6555,Data de nascimento
6,Município,45,Pessoas,11090,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93089,30 a 34 anos,6556,Idade presumida
6,Município,45,Pessoas,7778,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6583,30 anos,113635,Total
6,Município,45,Pessoas,4779,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6583,30 anos,6555,Data de nascimento
6,Município,45,Pessoas,2999,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6583,30 anos,6556,Idade presumida
6,Município,45,Pessoas,6543,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6584,31 anos,113635,Total
6,Município,45,Pessoas,4924,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6584,31 anos,6555,Data de nascimento
6,Município,45,Pessoas,1619,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6584,31 anos,6556,Idade presumida
6,Município,45,Pessoas,7515,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6585,32 anos,113635,Total
6,Município,45,Pessoas,5068,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6585,32 anos,6555,Data de nascimento
6,Município,45,Pessoas,2447,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6585,32 anos,6556,Idade presumida
6,Município,45,Pessoas,7189,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6586,33 anos,113635,Total
6,Município,45,Pessoas,5069,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6586,33 anos,6555,Data de nascimento
6,Município,45,Pessoas,2120,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6586,33 anos,6556,Idade presumida
6,Município,45,Pessoas,6957,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6587,34 anos,113635,Total
6,Município,45,Pessoas,5052,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6587,34 anos,6555,Data de nascimento
6,Município,45,Pessoas,1905,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6587,34 anos,6556,Idade presumida
6,Município,45,Pessoas,36427,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93090,35 a 39 anos,113635,Total
6,Município,45,Pessoas,24910,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93090,35 a 39 anos,6555,Data de nascimento
6,Município,45,Pessoas,11517,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93090,35 a 39 anos,6556,Idade presumida
6,Município,45,Pessoas,7596,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6588,35 anos,113635,Total
6,Município,45,Pessoas,4747,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6588,35 anos,6555,Data de nascimento
6,Município,45,Pessoas,2849,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6588,35 anos,6556,Idade presumida
6,Município,45,Pessoas,7170,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6589,36 anos,113635,Total
6,Município,45,Pessoas,5117,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6589,36 anos,6555,Data de nascimento
6,Município,45,Pessoas,2053,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6589,36 anos,6556,Idade presumida
6,Município,45,Pessoas,6759,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6590,37 anos,113635,Total
6,Município,45,Pessoas,4866,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6590,37 anos,6555,Data de nascimento
6,Município,45,Pessoas,1893,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6590,37 anos,6556,Idade presumida
6,Município,45,Pessoas,7542,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6591,38 anos,113635,Total
6,Município,45,Pessoas,4926,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6591,38 anos,6555,Data de nascimento
6,Município,45,Pessoas,2616,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6591,38 anos,6556,Idade presumida
6,Município,45,Pessoas,7360,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6592,39 anos,113635,Total
6,Município,45,Pessoas,5254,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6592,39 anos,6555,Data de nascimento
6,Município,45,Pessoas,2106,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6592,39 anos,6556,Idade presumida
6,Município,45,Pessoas,37270,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93091,40 a 44 anos,113635,Total
6,Município,45,Pessoas,25891,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93091,40 a 44 anos,6555,Data de nascimento
6,Município,45,Pessoas,11379,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93091,40 a 44 anos,6556,Idade presumida
