nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,tipo_de_produto_de_origem_animal_codigo,tipo_de_produto_de_origem_animal
6,Município,25,Mil litros,18386,3301009,Campos dos Goytacazes (RJ),1987,1987,106,Produção de origem animal,2682,Leite
6,Município,23,Mil dúzias,256,3301009,Campos dos Goytacazes (RJ),1987,1987,106,Produção de origem animal,2685,Ovos de galinha
6,Município,23,Mil dúzias,4,3301009,Campos dos Goytacazes (RJ),1987,1987,106,Produção de origem animal,2686,Ovos de codorna
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1987,1987,106,Produção de origem animal,2687,Mel de abelha
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1987,1987,106,Produção de origem animal,2683,Casulos do bicho-da-seda
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1987,1987,106,Produção de origem animal,2684,Lã
6,Município,1578,Mil Cruzados,128906,3301009,Campos dos Goytacazes (RJ),1987,1987,215,Valor da produção,0,Total
6,Município,1578,Mil Cruzados,125028,3301009,Campos dos Goytacazes (RJ),1987,1987,215,Valor da produção,2682,Leite
6,Município,1578,Mil Cruzados,3835,3301009,Campos dos Goytacazes (RJ),1987,1987,215,Valor da produção,2685,Ovos de galinha
6,Município,1578,Mil Cruzados,43,3301009,Campos dos Goytacazes (RJ),1987,1987,215,Valor da produção,2686,Ovos de codorna
6,Município,1578,Mil Cruzados,NA,3301009,Campos dos Goytacazes (RJ),1987,1987,215,Valor da produção,2687,Mel de abelha
6,Município,1578,Mil Cruzados,NA,3301009,Campos dos Goytacazes (RJ),1987,1987,215,Valor da produção,2683,Casulos do bicho-da-seda
6,Município,1578,Mil Cruzados,NA,3301009,Campos dos Goytacazes (RJ),1987,1987,215,Valor da produção,2684,Lã
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1988,1988,106,Produção de origem animal,0,Total
6,Município,25,Mil litros,19177,3301009,Campos dos Goytacazes (RJ),1988,1988,106,Produção de origem animal,2682,Leite
6,Município,23,Mil dúzias,265,3301009,Campos dos Goytacazes (RJ),1988,1988,106,Produção de origem animal,2685,Ovos de galinha
6,Município,23,Mil dúzias,4,3301009,Campos dos Goytacazes (RJ),1988,1988,106,Produção de origem animal,2686,Ovos de codorna
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1988,1988,106,Produção de origem animal,2687,Mel de abelha
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1988,1988,106,Produção de origem animal,2683,Casulos do bicho-da-seda
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1988,1988,106,Produção de origem animal,2684,Lã
