nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,cor_ou_raca_codigo,cor_ou_raca,sexo_codigo,sexo,idade_codigo,idade
6,Município,45,Pessoas,3349,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6562,5 anos
6,Município,45,Pessoas,3465,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6563,6 anos
6,Município,45,Pessoas,3581,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6564,7 anos
6,Município,45,Pessoas,3423,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6565,8 anos
6,Município,45,Pessoas,3391,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6566,9 anos
6,Município,45,Pessoas,16079,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93085,10 a 14 anos
6,Município,45,Pessoas,3212,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6567,10 anos
6,Município,45,Pessoas,3204,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6568,11 anos
6,Município,45,Pessoas,3310,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6569,12 anos
6,Município,45,Pessoas,3196,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6570,13 anos
6,Município,45,Pessoas,3157,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6571,14 anos
6,Município,45,Pessoas,16918,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93086,15 a 19 anos
6,Município,45,Pessoas,3167,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6572,15 anos
6,Município,45,Pessoas,3373,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6573,16 anos
6,Município,45,Pessoas,3477,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6574,17 anos
6,Município,45,Pessoas,3525,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6575,18 anos
6,Município,45,Pessoas,3376,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6576,19 anos
6,Município,45,Pessoas,18128,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93087,20 a 24 anos
6,Município,45,Pessoas,3531,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6577,20 anos
6,Município,45,Pessoas,3528,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6578,21 anos
6,Município,45,Pessoas,3875,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6579,22 anos
6,Município,45,Pessoas,3713,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6580,23 anos
6,Município,45,Pessoas,3481,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6581,24 anos
